"formulaRank"	"molecularFormula"	"adduct"	"precursorFormula"	"NPC#pathway"	"NPC#pathway Probability"	"NPC#superclass"	"NPC#superclass Probability"	"NPC#class"	"NPC#class Probability"	"ClassyFire#superclass"	"ClassyFire#superclass probability"	"ClassyFire#class"	"ClassyFire#class Probability"	"ClassyFire#subclass"	"ClassyFire#subclass Probability"	"ClassyFire#level 5"	"ClassyFire#level 5 Probability"	"ClassyFire#most specific class"	"ClassyFire#most specific class Probability"	"ClassyFire#all classifications"	"ionMass"	"retentionTimeInSeconds"	"retentionTimeInMinutes"	"formulaId"	"alignedFeatureId"	"mappingFeatureId"	"overallFeatureQuality"
3	"C27H24ClN3O6S"	"[M + Na]+"	"C27H24ClN3NaO6S+"	"Alkaloids"	0.714	"Tryptophan alkaloids"	0.764	"Carbazole alkaloids"	0.179	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	0.975	"Carbohydrates and carbohydrate conjugates"	0.684	"Glycosyl compounds"	0.758	"Glycosyl compounds"	0.758	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Indoles and derivatives; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Aryl chlorides; Sulfonyls; Organochlorides; Monosaccharides; Secondary alcohols; Oxanes; Glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Indoles; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; N-alkylindoles; Benzenesulfonyl compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	576.098	67	1.119	"673151949646322839"	"673150987477145720"	"29"	
2	"C33H34ClN3O11S"	"[M + Na]+"	"C33H34ClN3NaO11S+"	"Alkaloids"	0.520	"Tryptophan alkaloids"	0.838	"Carbazole alkaloids"	0.244	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	0.991	"Carbohydrates and carbohydrate conjugates"	0.976	"Monosaccharides"	0.889	"Hexoses"	0.810	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Indoles and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Aryl chlorides; Hexoses; Organochlorides; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Substituted pyrroles; Benzene and substituted derivatives; Polyols; Benzenoids; Indoles; Aryl halides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; N-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	738.150	67	1.119	"673152198481811930"	"673150987523283069"	"30"	
1	"C16H31NO16"	"[M - H2O + H]+"	"C16H30NO15+"	"Carbohydrates"	0.883	"Small peptides"	0.634	"Aminosugars"	0.201	"Organic acids and derivatives"	0.996	"Carboxylic acids and derivatives"	0.995	"Amino acids, peptides, and analogues"	0.990	"Amino acids and derivatives"	0.990	"Alpha amino acids"	0.679	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acids; Acetals; Secondary alcohols; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Alpha amino acids; Amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	476.160	67	1.122	"673151865005250068"	"673150987582003330"	"32"	
1	"C4H5NO3"	"[M + H3N + H]+"	"C4H9N2O3+"	"Amino acids and Peptides"	0.996	"Small peptides"	0.994	"Aminoacids"	0.997	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	1.000	"Amino acids, peptides, and analogues"	0.985	"Amino acids and derivatives"	0.984	"Alpha amino acids"	0.790	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Asparagine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	133.061	67	1.124	"673151884538127767"	"673150987758164108"	"34"	
1	"C5H10O"	"[M + H3N + H]+"	"C5H14NO+"	"Fatty acids"	0.966	"Fatty acyls"	0.954	"Fatty aldehydes"	0.874	"Organic oxygen compounds"	0.995	"Organooxygen compounds"	0.993	"Carbonyl compounds"	0.927	"Aldehydes"	0.762	"Medium-chain aldehydes"	0.604	"Organic compounds; Aldehydes; Organooxygen compounds; Carbonyl compounds; Medium-chain aldehydes; Short-chain aldehydes; Alpha,beta-unsaturated aldehydes; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	104.107	68	1.138	"673151889365772818"	"673150987816884369"	"35"	
1	"C4H9NO5"	"[M - H2O + H]+"	"C4H8NO4+"	"Amino acids and Peptides"	1.000	"Small peptides"	1.000	"Aminoacids"	1.000	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	1.000	"Amino acids, peptides, and analogues"	1.000	"Amino acids and derivatives"	1.000	"Alpha amino acids"	0.978	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	134.045	69	1.143	"673151898085732447"	"673150987980462235"	"37"	
1	"C4H7NO4"	"[M - H2O + H]+"	"C4H6NO3+"	"Amino acids and Peptides"	1.000	"Small peptides"	1.000	"Aminoacids"	1.000	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	1.000	"Amino acids, peptides, and analogues"	1.000	"Amino acids and derivatives"	1.000	"Alpha amino acids"	0.968	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	116.034	69	1.143	"673151880079581528"	"673150987917547670"	"36"	
1	"C5H7NO3"	"[M + H3N + H]+"	"C5H11N2O3+"	"Amino acids and Peptides"	0.831	"Small peptides"	0.639	"Aminoacids"	0.773	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.791	"Amino acids and derivatives"	0.789	"Alpha amino acids and derivatives"	0.752	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	147.076	69	1.147	"673151883778958518"	"673150988064348320"	"38"	
1	"C6H15NO5S2"	"[M + H3N + H]+"	"C6H19N2O5S2+"	"Amino acids and Peptides"	0.990	"Small peptides"	0.989	"Aminoacids"	0.994	"Organic acids and derivatives"	0.995	"Carboxylic acids and derivatives"	0.949	"Amino acids, peptides, and analogues"	0.947	"Amino acids and derivatives"	0.946	"Alpha amino acids"	0.823	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	263.073	70	1.158	"673151880775836159"	"673150988131457189"	"39"	
1	"C4H6O3"	"[M + H3N + H]+"	"C4H10NO3+"	"Fatty acids"	0.994	"Fatty Acids and Conjugates"	0.954	"Oxo fatty acids"	0.681	"Lipids and lipid-like molecules"	0.504	"Fatty Acyls"	0.567	"Fatty acids and conjugates"	0.524			"Fatty acids and conjugates"	0.524	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	120.065	70	1.159	"673151894310857648"	"673150988429252798"	"44"	
1	"C5H5NO3"	"[M + H3N + H]+"	"C5H9N2O3+"	"Alkaloids"	0.342	"Nicotinic acid alkaloids"	0.198	"Pyridine alkaloids"	0.200	"Organic acids and derivatives"	0.915	"Carboxylic acids and derivatives"	0.830	"Carboxylic acid derivatives"	0.501			"Carboxylic acid derivatives"	0.501	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	145.061	70	1.159	"673151877265203082"	"673150988194371754"	"40"	
2	"C5H6O3"	"[M + H3N + H]+"	"C5H10NO3+"	"Fatty acids"	0.969	"Fatty Acids and Conjugates"	0.793	"Unsaturated fatty acids"	0.536	"Organic acids and derivatives"	0.745	"Carboxylic acids and derivatives"	0.736	"Carboxylic acids"	0.570			"Carboxylic acids"	0.570	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	132.065	70	1.161	"673151864204137778"	"673150988269869231"	"41"	
1	"C4H6O2"	"[M + H3N + H]+"	"C4H10NO2+"	"Fatty acids"	0.993	"Fatty Acids and Conjugates"	0.818	"Unsaturated fatty acids"	0.814	"Organic acids and derivatives"	0.466	"Carboxylic acids and derivatives"	0.517	"Monocarboxylic acids and derivatives"	0.560			"Monocarboxylic acids and derivatives"	0.560	"Organic compounds; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	104.070	70	1.162	"673151880373182892"	"673150988374726841"	"43"	
1	"C6H12O6"	"[M - H2O + H]+"	"C6H11O5+"	"Carbohydrates"	0.996	"Saccharides"	0.989	"Monosaccharides"	0.895	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Carbohydrates and carbohydrate conjugates"	0.977	"Monosaccharides"	0.966	"Hexoses"	0.690	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hemiacetals; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	163.060	70	1.166	"673151861008076991"	"673150987271624804"	"25"	
5	"C14H18ClN3O7"	"[M + K]+"	"C14H18ClKN3O7+"	"Carbohydrates"	0.518	"Guanidine alkaloids"	0.174	"Tetrodotoxins"	0.026	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	0.996	"Carbohydrates and carbohydrate conjugates"	0.965	"Monosaccharides"	0.906	"Hexoses"	0.616	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organohalogen compounds; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic nitro compounds; Hexoses; Organic oxoazanium compounds; Organochlorides; Monosaccharides; Secondary alcohols; Oxanes; Glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Aryl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities"	414.045	70	1.168	"673151875302268337"	"673150987426814067"	"28"	
1	"C5H9NO4"	"[M - H2O + H]+"	"C5H8NO3+"	"Amino acids and Peptides"	1.000	"Small peptides"	1.000	"Aminoacids"	1.000	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	1.000	"Amino acids, peptides, and analogues"	0.999	"Amino acids and derivatives"	0.999	"Alpha amino acids"	0.926	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	130.050	70	1.172	"673151870529149475"	"673150988504750275"	"45"	
1	"C8H10O6"	"[M + H3N + H]+"	"C8H14NO6+"	"Shikimates and Phenylpropanoids"	0.433	"Phenolic acids (C6-C1)"	0.638	"Dicarboxylic acids"	0.392	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Alcohols and polyols"	0.702	"Secondary alcohols"	0.521	"Secondary alcohols"	0.521	"Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	220.081	70	1.174	"673151883535688768"	"673150988324395188"	"42"	
1	"C4H9NO3"	"[M - H2O + H]+"	"C4H8NO2+"	"Amino acids and Peptides"	1.000	"Small peptides"	1.000	"Aminoacids"	1.000	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	1.000	"Amino acids, peptides, and analogues"	0.997	"Amino acids and derivatives"	0.997	"Alpha amino acids"	0.925	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Short-chain hydroxy acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	102.055	71	1.178	"673151861486227871"	"673150988559276232"	"46"	
1	"C5H6O4"	"[M + H3N + H]+"	"C5H10NO4+"	"Fatty acids"	0.998	"Fatty Acids and Conjugates"	0.996	"Dicarboxylic acids"	0.997	"Organic acids and derivatives"	1.000	"Carboxylic acids and derivatives"	0.999	"Dicarboxylic acids and derivatives"	0.869			"Dicarboxylic acids and derivatives"	0.869	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	148.060	71	1.178	"673151868943702265"	"673150988622190797"	"47"	
1	"C8H17N3O6"	"[M + K]+"	"C8H17KN3O6+"	"Carbohydrates"	0.989	"Aminosugars and aminoglycosides"	0.888	"Aminosugars"	0.713	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Carbohydrates and carbohydrate conjugates"	0.981	"Monosaccharides"	0.958	"Hexoses"	0.553	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Hydrazines and derivatives; Semicarbazides; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Nitrosoureas; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Polyols; N-methylnitrosoureas; Organic oxides; Nitrosamides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Organic N-nitroso compounds; Chemical entities"	290.076	71	1.178	"673151905463516141"	"673150989020649707"	"53"	
