id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
29_Fototroficos_analisis_3_muestrascompletas_estadi_71	C13H21ClN4O3S2	[M + H]+	C13H21ClN4O3S2	Amino acids and Peptides	0.9458876252174377	Small peptides	0.9938499927520752	Tripeptides	0.8448891043663025	Oligopeptides	0.6393003463745117	Peptides	0.9979263544082642	Amino acids, peptides, and analogues	0.9959934949874878	Carboxylic acids and derivatives	0.9922583699226379	Organic acids and derivatives	0.9980250597000122	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Alkyl chlorides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Organochlorides; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Acetamides; Organic oxides; Azacyclic compounds; Methionine and derivatives; Hydrocarbon derivatives; Alanine and derivatives; Proline and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Oligopeptides; Chemical entities	71
30_Fototroficos_analisis_3_muestrascompletas_estadi_72	C13H22N2	[M + H]+	C13H22N2	Alkaloids	0.5674217939376831	Monoterpenoids	0.24729862809181213	Camphane monoterpenoids	0.05306077003479004	Monoterpenoids	0.5713803768157959			Monoterpenoids	0.5713803768157959	Prenol lipids	0.7267609238624573	Lipids and lipid-like molecules	0.6642600893974304	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrrolidines; Prenol lipids; Organonitrogen compounds; Monoterpenoids; Amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	72
31_Fototroficos_analisis_3_muestrascompletas_estadi_73	C13H24N2O	[M + H3N + H]+	C13H27N3O	Alkaloids	0.9741730690002441	Lysine alkaloids	0.5322635769844055	Piperidine alkaloids	0.4324558973312378	Alpha amino acid amides	0.030209816992282867	Amino acids and derivatives	0.5661623477935791	Amino acids, peptides, and analogues	0.5468416213989258	Carboxylic acids and derivatives	0.8825736045837402	Organic acids and derivatives	0.9994539618492126	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Carbonyl compounds; Amines; Acetamides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	73
32_Fototroficos_analisis_3_muestrascompletas_estadi_74	C16H28N4	[M + H]+	C16H28N4	Alkaloids	0.971465528011322	Ornithine alkaloids	0.21542862057685852	Quinolizidine alkaloids	0.11757669597864151	Azacyclic compounds	0.942459225654602					Azacyclic compounds	0.942459225654602	Organoheterocyclic compounds	0.9826535582542419	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Nitriles; Amines; Organic 1,3-dipolar compounds; Azacyclic compounds; Hydrocarbon derivatives; Organic cyanides; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	74
33_Fototroficos_analisis_3_muestrascompletas_estadi_75	C6H7NO	[M + H]+	C6H7NO	Alkaloids	0.9306566715240479	Nicotinic acid alkaloids	0.9477713704109192	Pyridine alkaloids	0.9484277367591858	Pyridines and derivatives	0.9689294099807739					Pyridines and derivatives	0.9689294099807739	Organoheterocyclic compounds	0.9673647880554199	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	75
34_Fototroficos_analisis_3_muestrascompletas_estadi_80	C8H8O	[M + H]+	C8H8O	Shikimates and Phenylpropanoids	0.9795528054237366	Phenylpropanoids (C6-C3)	0.9291293621063232	Cinnamic acids and derivatives	0.8781134486198425	Styrenes	0.7321915030479431			Styrenes	0.7321915030479431	Benzene and substituted derivatives	0.9964325428009033	Benzenoids	0.9999418258666992	Organic compounds; Styrenes; Phenols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	80
36_Fototroficos_analisis_3_muestrascompletas_estadi_82	C10H11NO2	[M + H]+	C10H11NO2	Alkaloids	0.8427540063858032	Tyrosine alkaloids	0.2322922646999359	Isoquinoline alkaloids	0.3133397400379181	Alpha amino acids	0.7050752639770508	Amino acids and derivatives	0.7002366781234741	Amino acids, peptides, and analogues	0.6990126967430115	Carboxylic acids and derivatives	0.715971827507019	Organic acids and derivatives	0.5338468551635742	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Phenols; Phenethylamines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acids; Alpha amino acids; Benzenoids; Amines; Aralkylamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	82
37_Fototroficos_analisis_3_muestrascompletas_estadi_84	C9H14N4O	[M + Na]+	C9H14N4O	Alkaloids	0.9937173128128052	Histidine alkaloids	0.3694979250431061	Imidazole alkaloids	0.409310519695282	Aminopyrimidines and derivatives	0.5042423009872437	Aminopyrimidines and derivatives	0.5042423009872437	Pyrimidines and pyrimidine derivatives	0.4962153732776642	Diazines	0.7580575346946716	Organoheterocyclic compounds	0.9988270401954651	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	84
38_Fototroficos_analisis_3_muestrascompletas_estadi_90	C16H29N3O6	[M + H]+	C16H29N3O6	Amino acids and Peptides	0.999188244342804	Small peptides	0.9997909665107727	Tripeptides	0.8189054131507874	Peptides	0.998349666595459	Peptides	0.998349666595459	Amino acids, peptides, and analogues	0.9999982118606567	Carboxylic acids and derivatives	0.9999946355819702	Organic acids and derivatives	0.9999984502792358	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Glutamic acid and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	90
39_Fototroficos_analisis_3_muestrascompletas_estadi_91	C33H55N5O5S	[M + Na]+	C33H55N5O5S	Amino acids and Peptides	0.9968810081481934	Oligopeptides	0.861694872379303	Lipopeptides	0.8916347622871399	Oligopeptides	0.8520621657371521	Peptides	0.9876498579978943	Amino acids, peptides, and analogues	0.9998620748519897	Carboxylic acids and derivatives	0.9999481439590454	Organic acids and derivatives	0.9999806880950928	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Thioethers; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; Amines; Primary amines; N-acylpyrrolidines; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Azacyclic compounds; Methionine and derivatives; Hydrocarbon derivatives; Proline and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	91
40_Fototroficos_analisis_3_muestrascompletas_estadi_96	C16H27N3O4	[M + H]+	C16H27N3O4	Amino acids and Peptides	0.9996153116226196	Small peptides	0.9997935891151428	Dipeptides	0.987200140953064	Oligopeptides	0.5728514194488525	Peptides	0.9967634677886963	Amino acids, peptides, and analogues	0.9999967813491821	Carboxylic acids and derivatives	0.9999701976776123	Organic acids and derivatives	0.9999791383743286	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	96
41_Fototroficos_analisis_3_muestrascompletas_estadi_98	C6H9NOS	[M + H]+	C6H9NOS	Alkaloids	0.947668731212616	Serine alkaloids	0.5276700854301453	Thiazole alkaloids	0.11383853852748871	Thiazoles	0.9954997897148132			Thiazoles	0.9954997897148132	Azoles	0.9978798627853394	Organoheterocyclic compounds	0.9988264441490173	Organic compounds; Organoheterocyclic compounds; Thiazoles; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	98
42_Fototroficos_analisis_3_muestrascompletas_estadi_102	C10H18B2O5	[M + Na]+	C10H18B2O5	Terpenoids	0.3214741051197052	Monoterpenoids	0.8590260148048401	Pinane monoterpenoids	0.6016694903373718	Benzene and substituted derivatives	0.5925652384757996					Benzene and substituted derivatives	0.5925652384757996	Benzenoids	0.6281685829162598	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Organooxygen compounds; Organometallic compounds; Boronic acid derivatives; Organometalloid compounds; Benzene and substituted derivatives; Benzenoids; Organoboron compounds; Organic salts; Organic metalloid salts; Organic metal salts; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	102
43_Fototroficos_analisis_3_muestrascompletas_estadi_105	C28H45N7O11	[M + H]+	C28H45N7O11	Amino acids and Peptides	0.9999436140060425	Small peptides	0.961331307888031	Tripeptides	0.8836629390716553	Oligopeptides	0.9783645272254944	Peptides	0.9999498128890991	Amino acids, peptides, and analogues	0.999996542930603	Carboxylic acids and derivatives	0.999998927116394	Organic acids and derivatives	0.999998927116394	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Heterocyclic fatty acids; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Serine and derivatives; Proline and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	105
