confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
11	1	3	1	3	0.9611330167874732	-339.0776153811807	0.04170854271356784	22.760538667393185	C41H71N7O4	[M + Na]+	ZNSMVFSYAAZDIF	InChI=1S/C41H71N7O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-27-38(49)46-36(26-20-22-29-43)40(51)48-37(30-32-31-45-34-24-18-17-23-33(32)34)41(52)47-35(39(44)50)25-19-21-28-42/h17-18,23-24,31,35-37,45H,2-16,19-22,25-30,42-43H2,1H3,(H2,44,50)(H,46,49)(H,47,52)(H,48,51)	null	CCCCCCCCCCCCCCCCCC(=O)NC(CCCCN)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCCCN)C(=O)N	7.07944012	90681181	PubChem:(90681181);PubMed	66	748.54343	622.9749999999999	418_Fototroficos_analisis_3_muestrascompletas_estadi_1208	1208
12	1	1	1	1	0.9350364787856602	-157.1776674910135	0.9999999999999999	17.59854083607317	C53H101NO6	[M + H]+	KUSSPUKMCMGBBU	InChI=1S/C53H102NO6/c1-7-10-13-16-19-22-25-26-27-28-31-34-37-40-43-46-52(57)60-49-53(54(4,5)6,47-58-50(55)44-41-38-35-32-29-23-20-17-14-11-8-2)48-59-51(56)45-42-39-36-33-30-24-21-18-15-12-9-3/h26-27H,7-25,28-49H2,1-6H3/q+1	null	CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCC=CCCCCCCCC)[N+](C)(C)C	19.7999992	134205244	PubChem:(134205244)	2	848.77298	980.9275	720_Fototroficos_analisis_3_muestrascompletas_estadi_2031	2031
13	1	1	1	2	0.933451466224098	-4.788922765732693	0.26231155778894477	20.958172374534428	C20H42O11	[M + H]+	DTPCFIHYWYONMD	InChI=1S/C20H42O11/c21-1-3-23-5-7-25-9-11-27-13-15-29-17-19-31-20-18-30-16-14-28-12-10-26-8-6-24-4-2-22/h21-22H,1-20H2	Polyoxyethylene (10)	C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O	-2.5	79689	NORMAN:(NS00001004);COCONUT:(CNP0365695);PubChem:(79689);CHEBI:(46550);Maconda:(CON00058);additional;PubChem class - bio and metabolites;PubChem class - safety and toxic	86770722	459.28111	119.855	139_Fototroficos_analisis_3_muestrascompletas_estadi_267	267
14	1	3	1	3	0.8974094154221334	-10.832388268596818	0.35678391959798994	40.15412363455347	C27H56O10	[M + H3N + H]+	DXVLAUMXGHQKAV	InChI=1S/C27H56O10/c1-19(29)11-30-21(3)13-32-23(5)15-34-25(7)17-36-27(9)18-37-26(8)16-35-24(6)14-33-22(4)12-31-20(2)10-28/h19-29H,10-18H2,1-9H3	2-[2-[2-[2-[2-[2-[2-[2-(2-hydroxypropoxy)propoxy]propoxy]propoxy]propoxy]propoxy]propoxy]propoxy]propan-1-ol	CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O	2.54816675	21989361	NORMAN:(NS00017701);COCONUT:(CNP0346698);Training Set;PubChem:(21989361);additional	2899970	558.42175	446.85562500000003	378_Fototroficos_analisis_3_muestrascompletas_estadi_1090	1090
15	1	2	1	2	0.8920460104508495	-270.38633973808106	0.036683417085427134	24.637706624381984	C31H67N5O5	[M + Na]+	JGZPVVFCDCEADS	InChI=1S/C31H67N5O5/c1-6-11-31(41)26-36(25-30(40)10-5)20-17-33-14-12-32(13-15-33)16-18-34(22-27(37)7-2)19-21-35(23-28(38)8-3)24-29(39)9-4/h27-31,37-41H,6-26H2,1-5H3	null	CCCC(CN(CCN1CCN(CC1)CCN(CCN(CC(CC)O)CC(CC)O)CC(CC)O)CC(CC)O)O	1.89999998	91090314	PubChem:(91090314)	2	612.50594	925.9300000000001	680_Fototroficos_analisis_3_muestrascompletas_estadi_1855	1855
16	1	1	1	1	0.8883170408851285	-2.235905385255884	0.9999999999999999	55.237653753394824	C9H11NO2	[M + H]+	COLNVLDHVKWLRT	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	Sabiden	C1=CC=C(C=C1)CC(C(=O)O)N	0.690450609	994;6140;71567;450580;450585;450605;2724448;3823098;5460949;5460950;5460952;5460953;5460957;5460958;10511283;10511284;10702212;6919011;6925665;12132826;12132829;9877477;10012270;9989619;13000972;13000974;13000976;13000978;13000981;13000983;13000986;13000987;13000992;13000995;13000997;13000999;10103511;10154215;11062753;10241165;11819436;10329658;10329702;10352075;10397170;11378724;10442063;20598859;16213431;16213432;16213459;16213565;16217565;16219910;23244601;25240041;25240491;25240783;25240991;25241052;25241066;25241070;25241360;25241565;24773270;53731873;53731875;53731876;53731877;53731878;57397115;56617616;56634323;59373178;66995391;66995546;66995580;66995721;71308946;71309396;87528067;87221210;87471585;88455641;90120010;91590842;102122880;101731663;102152000;102176479;100915787;101868632;102601151;102602169;102602342;117064739;119078553;119078554;119080919;118264378;124202794;129736625;131701211;134501265;131860346;131868860;134866153;138986901	HMDB:(159);PubChem class - food;SuperNatural:(SN00000169 SN00001028);ZINC bio:(ZINC00001927 ZINC00105196);additional;HSDB:(63-91-2);MeSH:(994 6140 6925665);Plantcyc:(CPD-216 PHE B-DMAN-HEX-1:5);PubMed;NORMAN:(NS00002612);COCONUT:(CNP0082854 CNP0082855 CNP0193965);KNApSAcK:(1386);Natural Products:(UNPD39371 UNPD26171);PubChem:(994 6140 71567 450580 450585 450605 2724448 3823098 5460949 5460950 5460952 5460953 5460957 5460958 10511283 10511284 10702212 6919011 6925665 12132826 12132829 9877477 10012270 9989619 13000972 13000974 13000976 13000978 13000981 13000983 13000986 13000987 13000992 13000995 13000997 13000999 10103511 10154215 11062753 10241165 11819436 10329658 10329702 10352075 10397170 11378724 10442063 20598859 16213431 16213432 16213459 16213565 16217565 16219910 23244601 25240041 25240491 25240783 25240991 25241052 25241066 25241070 25241360 25241565 24773270 53731873 53731875 53731876 53731877 53731878 57397115 56617616 56634323 59373178 66995391 66995546 66995580 66995721 71308946 71309396 87528067 87221210 87471585 88455641 90120010 91590842 102122880 101731663 102152000 102176479 100915787 101868632 102601151 102602169 102602342 117064739 119078553 119078554 119080919 118264378 124202794 129736625 131701211 134501265 131860346 131868860 134866153 138986901);CHEBI:(76052 17295 57981 32494 58095 32505 32487 32504 16998 32495 32486 28044);PubChem class - bio and metabolites;KEGG:(C00079 C02265 C02057);PubChem class - safety and toxic;YMDB:(304 995);Training Set;PubChem class - drug;Biocyc:(CPD-216 PHE SMA-0000294 SMA-0000352)	255847294	166.08657	153.03414062500002	175_Fototroficos_analisis_3_muestrascompletas_estadi_330	330
17	1	1	1	1	0.884102186156392	-165.86935463641743	0.9999999999999999	9.537146906072467	C53H101NO6	[M + H]+	KUSSPUKMCMGBBU	InChI=1S/C53H102NO6/c1-7-10-13-16-19-22-25-26-27-28-31-34-37-40-43-46-52(57)60-49-53(54(4,5)6,47-58-50(55)44-41-38-35-32-29-23-20-17-14-11-8-2)48-59-51(56)45-42-39-36-33-30-24-21-18-15-12-9-3/h26-27H,7-25,28-49H2,1-6H3/q+1	null	CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)(COC(=O)CCCCCCCC=CCCCCCCCC)[N+](C)(C)C	19.7999992	134205244	PubChem:(134205244)	2	848.77238	1006.645	733_Fototroficos_analisis_3_muestrascompletas_estadi_2199	2199
18	1	1	1	1	0.8618078595948668	-6.485285401304508	0.9999999999999999	12.575903570533415	C8H4O3	[M + H]+	LGRFSURHDFAFJT	InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H	Wiltrol P	C1=CC=C2C(=C1)C(=O)OC2=O	1.29999995	6811;16212996;23560834;71751657;71309648;123741998	PubChem class - food;SuperNatural:(SN00132155);Maconda:(CON00081);ZINC bio:(ZINC08100883);additional;HSDB:(85-44-9);MeSH:(6811);PubMed;NORMAN:(NS00004500);COCONUT:(CNP0332462);Natural Products:(UNPD97762);PubChem:(6811 16212996 23560834 71751657 71309648 123741998);CHEBI:(36605);PubChem class - bio and metabolites;EcoCyc Mine;PubChem class - safety and toxic;Training Set;KEGG Mine	25991898726	149.0237	654.71	431_Fototroficos_analisis_3_muestrascompletas_estadi_1244	1244
19	1	10	1	4	0.8610340793577642	-83.95916213656541	0.042713567839195984	-1.8584143960684103	C8H20O6P2S7	[M + Na]+	BLJIUYZVHGAFNL	InChI=1S/C8H20O6P2S7/c1-5-11-17-15(9,18-12-6-2)21-23-22-16(10,19-13-7-3)20-14-8-4/h5-8H2,1-4H3	1-[[bis(ethoxysulfanyl)phosphoryltrisulfanyl]-ethoxysulfanylphosphoryl]sulfanyloxyethane	CCOSP(=O)(SOCC)SSSP(=O)(SOCC)SOCC	3.5	19827365	PubChem:(19827365)	2	520.86952	709.9100000000001	475_Fototroficos_analisis_3_muestrascompletas_estadi_1372	1372
20	1	1	1	2	0.8589819934204982	-154.75284166813032	0.9542713567839195	41.56374022155229	C4H6BrF2NO2S	[M + K]+	FDOSGYXIENBNOF	InChI=1S/C4H6BrF2NO2S/c1-3(5)2-8-11(9,10)4(6)7/h4,8H,1-2H2	null	C=C(CNS(=O)(=O)C(F)F)Br	1.39999998	116029271	PubChem:(116029271)	2	287.88949	1219.4662424354347	807_Fototroficos_analisis_3_muestrascompletas_estadi_2967	2967
21	1	2	1	2	0.8568528434257378	-137.51839182611735	0.449748743718593	32.23678274953728	C29H50N6O11	[M + H]+	XTKPQAJNGUNRMS	InChI=1S/C29H50N6O11/c1-13(2)12-18(32-26(42)21(30)14(3)4)25(41)33-22(15(5)36)27(43)31-17(9-10-20(38)39)24(40)34-23(16(6)37)28(44)35-11-7-8-19(35)29(45)46/h13-19,21-23,36-37H,7-12,30H2,1-6H3,(H,31,43)(H,32,42)(H,33,41)(H,34,40)(H,38,39)(H,45,46)	(2S)-1-[(2S,3R)-2-[[(2S)-2-[[(2S,3R)-2-[[(2S)-2-[[(2S)-2-amino-3-methylbutanoyl]amino]-4-methylpentanoyl]amino]-3-hydroxybutanoyl]amino]-4-carboxybutanoyl]amino]-3-hydroxybutanoyl]pyrrolidine-2-carboxylic acid	CC(C)CC(C(=O)NC(C(C)O)C(=O)NC(CCC(=O)O)C(=O)NC(C(C)O)C(=O)N1CCCC1C(=O)O)NC(=O)C(C(C)C)N	-1.36738253	11650431	PubChem:(11650431)	2	659.36168	244.785	248_Fototroficos_analisis_3_muestrascompletas_estadi_587	587
22	1	1	1	3	0.835846881258485	-2.0982662063525455	0.664321608040201	51.74189365571526	C12H26O7	[M + H]+	IIRDTKBZINWQAW	InChI=1S/C12H26O7/c13-1-3-15-5-7-17-9-11-19-12-10-18-8-6-16-4-2-14/h13-14H,1-12H2	Hexagol	C(COCCOCCOCCOCCOCCO)O	-1.89999998	17472	HMDB:(61822);PubChem class - food;Maconda:(CON00073);additional;MeSH:(17472);PubMed;NORMAN:(NS00001003);COCONUT:(CNP0147909);PubChem:(17472);CHEBI:(49793);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;KEGG Mine	8810939502	283.17599	61.910000000000004	50_Fototroficos_analisis_3_muestrascompletas_estadi_135	135
23	1	1	1	1	0.8262574802803238	-299.8955551631268	0.9999999999999999	31.875779086859968	C31H61N5O4	[M + H]+	UZGXTJUMTNKRAN	InChI=1S/C31H61N5O4/c32-22-14-9-4-2-1-3-8-12-21-29(38)35-28(25-37)31(40)36-27(20-13-15-23-33)30(39)34-24-16-19-26-17-10-6-5-7-11-18-26/h26-28,37H,1-25,32-33H2,(H,34,39)(H,35,38)(H,36,40)	null	C1CCCC(CCC1)CCCNC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)CCCCCCCCCCN	5.0999999	10531055	PubChem:(10531055);PubMed	66	568.47999	927.8499999999999	681_Fototroficos_analisis_3_muestrascompletas_estadi_1859	1859
24	1	2	1	2	0.8211100647419903	-128.61368274551924	0.06030150753768845	42.28582455200118	C39H54N6O7	[M + Na]+	VAPRNCBNWGKICG	InChI=1S/C39H54N6O7/c1-24(2)19-30-38(51)45-18-10-13-32(45)36(49)42-31(22-27-14-16-28(46)17-15-27)37(50)44(6)33(20-25(3)4)39(52)43(5)23-34(47)40-29(35(48)41-30)21-26-11-8-7-9-12-26/h7-9,11-12,14-17,24-25,29-33,46H,10,13,18-23H2,1-6H3,(H,40,47)(H,41,48)(H,42,49)	null	CC(C)CC1C(=O)N2CCCC2C(=O)NC(C(=O)N(C(C(=O)N(CC(=O)NC(C(=O)N1)CC3=CC=CC=C3)C)CC(C)C)C)CC4=CC=C(C=C4)O	4.19999981	118736519	PubChem:(118736519);PubMed	66	741.39471	200.98624999999998	211_Fototroficos_analisis_3_muestrascompletas_estadi_459	459
25	1	7	1	4	0.7894665383505527	-298.19666358961473	0.010552763819095479	6.4303935990374095	C37H73N9O6	[M + Na]+	HCYFMDDXGYMCJV	InChI=1S/C37H73N9O6/c1-6-17-38-32(47)13-26-45(27-14-33(48)39-18-7-2)30-21-42-36(51)11-24-44(23-10-5)25-12-37(52)43-22-31-46(28-15-34(49)40-19-8-3)29-16-35(50)41-20-9-4/h6-31H2,1-5H3,(H,38,47)(H,39,48)(H,40,49)(H,41,50)(H,42,51)(H,43,52)	null	CCCNC(=O)CCN(CCC(=O)NCCC)CCNC(=O)CCN(CCC)CCC(=O)NCCN(CCC(=O)NCCC)CCC(=O)NCCC	0.300000012	118673881	PubChem:(118673881)	2	762.55983	671.3050000000001	435_Fototroficos_analisis_3_muestrascompletas_estadi_1260	1260
26	1	1	1	2	0.7848630130638925	-26.94796559935491	0.47185929648241215	21.581067821041785	C27H56O10	[M + H]+	DXVLAUMXGHQKAV	InChI=1S/C27H56O10/c1-19(29)11-30-21(3)13-32-23(5)15-34-25(7)17-36-27(9)18-37-26(8)16-35-24(6)14-33-22(4)12-31-20(2)10-28/h19-29H,10-18H2,1-9H3	2-[2-[2-[2-[2-[2-[2-[2-(2-hydroxypropoxy)propoxy]propoxy]propoxy]propoxy]propoxy]propoxy]propoxy]propan-1-ol	CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O	2.54816675	21989361	NORMAN:(NS00017701);COCONUT:(CNP0346698);Training Set;PubChem:(21989361);additional	2899970	541.39534	446.4825	377_Fototroficos_analisis_3_muestrascompletas_estadi_1089	1089
27	1	1	1	2	0.779881193556478	-271.7161011999313	0.07336683417085427	17.485764098281905	C27H50N4O10	[M + H3N + H]+	NAHMCYQZTMERQU	InChI=1S/C27H50N4O10/c1-23(32)37-18-13-28(6)7-8-29(9-11-30(14-19-38-24(2)33)15-20-39-25(3)34)10-12-31(16-21-40-26(4)35)17-22-41-27(5)36/h7-22H2,1-6H3	null	CC(=O)OCCN(C)CCN(CCN(CCOC(=O)C)CCOC(=O)C)CCN(CCOC(=O)C)CCOC(=O)C	-0.200000003	118631034	PubChem:(118631034)	2	608.38634	196.22173043251036	206_Fototroficos_analisis_3_muestrascompletas_estadi_444	444
28	1	2	1	5	0.7587121148515967	-209.36746602551625	0.2613065326633166	21.804633741482178	C27H50N8O9S	[M + H]+	CGNLZSHKUZIOAO	InChI=1S/C27H50N8O9S/c1-5-15(4)22(26(42)33-17(12-36)27(43)44)35-25(41)21(14(2)3)34-24(40)18(13-45)32-20(38)11-30-19(37)10-31-23(39)16(29)8-6-7-9-28/h14-18,21-22,36,45H,5-13,28-29H2,1-4H3,(H,30,37)(H,31,39)(H,32,38)(H,33,42)(H,34,40)(H,35,41)(H,43,44)	2-[[2-[[2-[[2-[[2-[[2-(2,6-diaminohexanoylamino)acetyl]amino]acetyl]amino]-3-sulfanylpropanoyl]amino]-3-methylbutanoyl]amino]-3-methylpentanoyl]amino]-3-hydroxypropanoic acid	CCC(C)C(C(=O)NC(CO)C(=O)O)NC(=O)C(C(C)C)NC(=O)C(CS)NC(=O)CNC(=O)CNC(=O)C(CCCCN)N	-4.4000001	19825538	PubChem:(19825538)	2	663.3519	172.91781250000003	187_Fototroficos_analisis_3_muestrascompletas_estadi_372	372
29	1	1	1	2	0.7533989002922251	-50.36113430012268	0.9100502512562814	58.60601782281402	C22H41N5O8	[M + H]+	MCLDCCTWXUQVOL	InChI=1S/C22H41N5O8/c1-7-10(3)15(25-19(31)14(23)9-28)20(32)24-12(5)18(30)27-17(13(6)29)21(33)26-16(22(34)35)11(4)8-2/h10-17,28-29H,7-9,23H2,1-6H3,(H,24,32)(H,25,31)(H,26,33)(H,27,30)(H,34,35)	(2S,3S)-2-[[(2S,3R)-2-[[(2S)-2-[[(2S,3S)-2-[[(2S)-2-amino-3-hydroxypropanoyl]amino]-3-methylpentanoyl]amino]propanoyl]amino]-3-hydroxybutanoyl]amino]-3-methylpentanoic acid	CCC(C)C(C(=O)NC(C)C(=O)NC(C(C)O)C(=O)NC(C(C)CC)C(=O)O)NC(=O)C(CO)N	-1.14557958	11225862	PubChem:(11225862)	2	504.30407	86.2025	91_Fototroficos_analisis_3_muestrascompletas_estadi_192	192
30	1	1	1	1	0.7326846863685409	-273.74483114720994	0.993467336683417	22.805158309300175	C22H43N5O4	[M + H]+	SXRXQXVHHUKHAI	InChI=1S/C22H43N5O4/c1-9-17(5)29-14-26(13-28-8)21-23-20(12-4)24-22(25-21)27(15-30-18(6)10-2)16-31-19(7)11-3/h17-19H,9-16H2,1-8H3	null	CCC1=NC(=NC(=N1)N(COC(C)CC)COC(C)CC)N(COC)COC(C)CC	5.5	123449070	PubChem:(123449070)	2	442.33835	357.1	338_Fototroficos_analisis_3_muestrascompletas_estadi_938	938
31	1	3	1	3	0.7122306815728517	-10.577831752307626	0.06030150753768845	20.394475861217995	C20H42O11	[M + H3N + H]+	DTPCFIHYWYONMD	InChI=1S/C20H42O11/c21-1-3-23-5-7-25-9-11-27-13-15-29-17-19-31-20-18-30-16-14-28-12-10-26-8-6-24-4-2-22/h21-22H,1-20H2	Polyoxyethylene (10)	C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O	-2.5	79689	NORMAN:(NS00001004);COCONUT:(CNP0365695);PubChem:(79689);CHEBI:(46550);Maconda:(CON00058);additional;PubChem class - bio and metabolites;PubChem class - safety and toxic	86770722	476.30658	120.2782969210071	144_Fototroficos_analisis_3_muestrascompletas_estadi_274	274
32	1	10	1	2	0.6729638582525677	-347.2737342529818	0.0592964824120603	-1.292448753713035	C20H17BrN2O5S3	[M + K]+	NUTCULFNOONNRU	InChI=1S/C20H17BrN2O5S3/c1-28-20(25)19-16(10-11-29-19)22-18(24)12-30-17-5-3-2-4-15(17)23-31(26,27)14-8-6-13(21)7-9-14/h2-11,23H,12H2,1H3,(H,22,24)	methyl 3-[[2-[2-[(4-bromophenyl)sulfonylamino]phenyl]sulfanylacetyl]amino]thiophene-2-carboxylate	COC(=O)C1=C(C=CS1)NC(=O)CSC2=CC=CC=C2NS(=O)(=O)C3=CC=C(C=C3)Br	5.0	3723038	PubChem:(3723038);PubMed	66	578.91214	801.54	578_Fototroficos_analisis_3_muestrascompletas_estadi_1582	1582
