row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,203_1.mzML Peak area,206_1.mzML Peak area,205_1.mzML Peak area,203_2.mzML Peak area,205_2.mzML Peak area,206_2.mzML Peak area,202_3.mzML Peak area,203_3.mzML Peak area,208_2.mzML Peak area,207_2.mzML Peak area,209_2.mzML Peak area,211_1.mzML Peak area,210_1.mzML Peak area,209_1.mzML Peak area,202_1.mzML Peak area,207_1.mzML Peak area,212_1.mzML Peak area,212_2.mzML Peak area,211_2.mzML Peak area,208_1.mzML Peak area,213_1.mzML Peak area,213_3.mzML Peak area,210_2.mzML Peak area,204_1.mzML Peak area,202_2.mzML Peak area,213_2.mzML Peak area,204_2.mzML Peak area,
164,114.09151244165554,1.2287912,,,,,,,,,,,0,660845.6,0,0,0,0,830337.56,0,0,0,0,0,0,0,0,0,0,6213763.5,0,0,393288.38,0,0,0,0,0,0,
2939,116.97206446245288,19.874258,,,,,,,,,,,1130526.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2897,118.12278666288603,19.62575,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,383900.44,0,0,0,0,0,0,0,0,0,410887.47,0,0,352622.56,
16,120.02388748718363,0.68217003,,,,50,,,,,,,340883.25,163678.7,114491.84,295014.47,186853.66,198179.66,0,211928.08,0,0,384572.1,0,353692.22,400390.94,0,0,0,258053.8,0,0,0,0,329664.6,0,230545.28,239429.94,0,
331,120.08093004698142,2.5539,,,,123,,,,,,,790036.06,437137.94,111115.08,524391.94,393656.38,457924.75,0,660410.06,434897.3,572142.1,0,246395.06,323205.66,0,0,214734.23,278524.5,0,281131.16,386056.3,171069.02,0,261829.06,0,0,0,0,
179,121.0650001035549,1.3498993,,,,116,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645400.0,615341.6,0,1412004.9,
80,121.06514084759664,0.8090284,,,,92,,,,,,,196097.73,0,0,0,0,0,0,0,0,0,0,0,731238.44,0,906874.7,0,0,0,0,0,394405.97,414634.88,1093646.1,7550462.0,5759109.5,0,1.2047064E7,
2032,121.96632289419716,16.342842,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167695.8,0,0,0,0,0,0,0,
2896,121.9663321565496,19.616125,,,,,,,,,,,0,0,414457.94,0,406906.1,0,0,301306.62,0,382497.78,326444.06,0,0,385536.2,0,0,0,0,0,0,0,0,0,403430.12,0,0,0,
1957,121.96634380783232,16.073132,,,,,,,,,,,0,0,1123887.5,1576817.0,0,0,0,0,0,0,0,0,0,0,1167299.0,0,0,0,1628408.8,0,0,0,0,0,0,0,0,
1990,121.96636163682716,16.194427,,,,,,,,,,,1536025.5,0,0,0,1533584.8,0,1285845.2,0,0,1527319.8,0,0,1676977.0,0,0,0,1537112.2,0,0,0,0,0,0,1150527.5,1071623.5,0,1135178.9,
81,122.06843662054563,0.82745516,,,,92,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329281.16,0,795358.06,
2956,125.98646431174384,20.117939,,,,,,,,,,,0,0,0,0,68296.74,0,0,0,0,0,0,0,0,108174.14,0,0,0,0,0,111779.8,0,61979.598,0,0,0,0,0,
2947,125.98648160050138,19.919765,,,,,,,,,,,784332.94,1032740.1,1196766.9,653911.7,0,0,1212643.1,1204453.1,725437.0,1151438.8,746110.06,995125.2,1174448.9,700485.4,880022.6,1264426.1,0,0,684186.1,1186100.8,0,1049871.6,1156154.4,1111892.2,0,0,1121265.5,
35,125.98662667375555,0.6926475,,,,135,,,,,,,139600.19,0,0,113017.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771550.06,493469.78,130122.31,1705636.1,
21,128.01952727450723,0.68645215,,,,,,,,,,,62949.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195124.45,0,0,
263,128.10721176317142,1.9666951,,,,,,,,,,,0,112718.72,0,0,0,0,0,0,0,731921.94,0,205862.1,0,0,0,0,0,0,0,304586.88,0,0,0,0,0,0,0,
234,128.10723821248965,1.765453,,,,,,,,,,,0,0,0,0,0,0,0,0,0,514552.7,0,0,0,0,0,136905.5,0,0,0,245063.23,0,0,0,0,0,0,0,
2965,128.95102424915734,20.30607,,,,,,,,,,,0,0,0,351751.4,0,522347.12,0,0,0,0,392536.6,0,1630013.0,0,772851.56,0,0,0,0,0,0,627949.4,834828.9,0,0,562236.06,442638.78,
29,130.00839029226952,0.6896253,,,,50,,,,,,,239236.7,0,0,220232.83,141092.92,0,0,130511.37,0,0,265083.25,0,253286.7,280224.75,0,0,0,0,0,0,0,0,236655.89,0,111123.88,135781.77,0,
119,130.06545727229096,0.98696786,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163722.0,3267671.8,0,3552094.8,
373,130.1228514736729,2.8765278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,125296.19,0,0,0,0,0,0,0,0,0,0,0,0,498231.4,0,654729.75,
2974,130.96667389525226,20.57987,,,,,,,,,,,0,0,0,1374090.5,0,0,0,1365537.4,1126476.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2966,131.97452855088028,20.31879,,,,,,,,,,,0,1864891.9,0,2387168.0,1709604.4,2208197.2,0,2218033.2,2255291.5,0,2029629.5,2159784.5,1135639.4,0,0,0,0,1839450.6,1976766.2,0,2268898.8,2102976.8,2430277.2,0,0,2336129.8,1687624.5,
722,133.10137724670201,4.819858,,,,,,,,,,,170204.2,0,0,223916.88,0,0,0,0,0,259532.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
226,136.07598228172594,1.6844416,,,,,,,,,,,1169688.8,640175.8,376589.56,1027298.6,513110.56,644662.44,284326.56,977753.5,594399.6,881100.2,557467.6,509620.38,466812.47,599405.1,0,555879.75,493192.12,138975.81,476271.97,526654.3,486160.72,388285.8,483994.88,322327.25,0,184528.52,0,
174,137.06001481390766,1.3211923,,,,,,,,,,,0,0,0,280582.72,20259.297,0,0,0,0,0,268112.75,0,0,286836.94,0,0,347231.38,0,0,0,276975.1,273534.3,0,618017.4,1350731.4,191319.97,1737461.2,
60,137.13292753998735,0.71869004,,,,46,3,[M+H]+,,1,63,136.1257,0,0,0,0,0,0,718219.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243722.73,0,0,
2943,139.98819905862717,19.874258,,,,,,,,,,,1449912.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
190,141.01860322564562,1.4159869,,,,144,,,,,,,0,0,0,0,0,0,0,0,0,0,0,309293.6,0,0,0,0,0,0,320941.84,0,0,0,0,0,0,0,0,
2953,141.95890385158015,20.000484,,,,,,,,,,,0,0,2660739.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2969,141.9589226975598,20.304619,,,,,,,,,,,0,4453631.5,0,0,7745530.5,9453286.0,0,0,0,0,0,0,0,0,0,3138397.0,0,0,5600583.5,0,7434643.0,4768144.5,1.0411628E7,0,0,1.0061115E7,0,
31,141.95914542119849,0.69050014,,,,135,,,,,,,0,196398.16,0,256014.64,0,0,0,272781.75,0,0,343921.66,0,403233.2,314724.84,0,0,0,0,0,0,0,0,351951.25,0,1072928.2,0,860011.6,
98,144.04825602293363,0.89523935,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664387.2,547454.8,0,833511.25,
180,144.08114812536203,1.3510283,,,,116,,,,,,,459033.6,476508.12,285014.6,335497.9,361641.0,529808.9,561994.94,318360.53,446084.1,695291.2,387892.56,444721.72,653398.6,429925.06,458225.66,500036.06,750735.3,0,473649.06,435350.4,568477.8,484547.62,641246.6,1576751.8,2280206.5,276103.0,2815157.0,
1897,144.98245557744144,15.735922,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61782.76,0,0,0,0,0,0,0,98916.266,0,0,0,0,
1965,144.98245673581124,16.104881,,,,,,,,,,,0,0,0,0,832900.7,0,175771.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2046,144.98246094870055,16.366444,,,,,,,,,,,0,0,0,0,0,0,0,0,1053535.2,0,832258.4,0,0,0,0,0,774689.5,0,0,0,0,900096.4,0,0,0,0,0,
2898,144.9824616003553,19.626163,,,,,,,,,,,235584.14,204127.9,234992.34,0,253885.12,0,0,232123.94,0,0,188451.53,236149.39,239463.3,0,257769.78,237415.6,0,0,0,217519.66,174734.03,0,275782.6,281502.66,0,0,221668.33,
2013,144.98246927827773,16.274601,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,917837.75,0,0,0,0,0,0,0,878704.5,0,0,1029626.1,0,0,0,853007.06,
315,146.0602985846124,2.4555116,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359161.03,0,491796.72,
1244,149.02369822727846,10.9118,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311099.4,0,0,0,0,0,
63,154.15956178685354,0.7314596,,,,46,3,[M+NH4]+,,2,60;63,136.1257,0,0,0,0,0,0,1663277.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629433.94,0,0,
249,155.07059575049797,1.8918782,,,,,,,,,,,303542.38,291904.44,0,387732.2,330392.8,253760.45,0,195030.69,263894.16,274979.03,234547.72,0,0,213346.39,0,236706.23,336363.78,102367.33,0,225508.89,285468.84,311251.3,254287.61,0,467440.34,0,629968.8,
213,155.07062594366047,1.5578783,,,,,,,,,,,0,184583.33,0,334972.38,0,0,0,0,0,0,201923.62,0,252853.06,0,0,0,288507.53,0,0,0,214207.89,200049.69,225334.8,0,0,67807.2,0,
140,155.07066100371742,1.0777829,,,,,,,,,,,0,0,0,0,0,0,414037.16,0,0,0,0,0,0,0,422838.56,0,0,0,0,0,0,0,0,0,0,0,0,
12,158.00338358764958,0.67996174,,,,50,,,,,,,449157.0,248907.61,263216.8,403629.6,249428.75,283265.6,0,265699.75,0,0,465461.4,0,438369.88,492401.75,0,0,0,321316.16,0,0,223852.28,0,413190.72,0,342137.5,311497.97,0,
264,158.09673992322763,1.9715644,,,,106,,,,,,,542573.4,386314.4,236774.22,588093.2,446776.22,381490.84,0,431490.8,262252.62,462229.66,288976.22,222873.98,0,254935.8,0,279258.44,275898.84,0,290512.6,0,320160.8,311873.4,155275.28,0,0,170530.89,0,
201,158.0967801731205,1.4871541,,,,107,,,,,,,687076.44,425955.8,200297.7,460679.12,383438.16,439083.3,0,669491.0,0,734590.25,0,0,403410.5,193388.6,0,435456.44,341818.16,0,0,198752.16,0,0,402745.66,0,0,0,0,
290,158.11787699454152,2.2294908,,,,,,,,,,,0,413210.0,221564.47,0,0,445182.72,0,0,380323.97,846435.7,369136.06,394648.97,0,443788.22,0,521687.88,0,0,443667.1,488850.88,0,0,0,0,0,0,0,
1022,158.15429359988556,6.664621,,,,,,,,,,,0,0,224274.53,166810.05,0,0,0,0,0,191466.45,0,0,156205.03,0,0,0,0,175650.28,0,0,0,0,0,0,0,0,0,
189,159.02924104363834,1.4137865,,,,144,,,,,,,0,0,0,0,0,0,0,0,0,0,0,262528.94,0,0,0,0,0,0,297736.94,0,0,0,0,0,0,0,0,
2951,159.9695409638731,19.984928,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600134.8,0,0,0,0,0,0,0,0,0,0,779367.5,
2970,159.96958396647068,20.330574,,,,,,,,,,,0,1016624.56,1656097.8,1957797.4,1371873.5,1544512.8,0,1987692.6,0,1468544.0,1650308.2,1557173.6,0,0,0,1493936.5,0,1116993.9,1499255.5,1716852.5,1328571.5,1426010.9,0,1733577.4,0,1803070.2,1207119.5,
188,160.13361516083404,1.4131975,,,,,,,,,,,0,0,0,0,0,0,0,0,0,373366.38,0,0,0,0,0,252557.52,338614.34,0,0,0,348497.56,0,0,0,0,0,0,
231,162.05536042955274,1.7375281,,,,,,,,,,,244424.27,0,0,320531.03,192459.45,60032.355,0,0,0,200727.78,233325.19,0,252536.97,228467.0,0,0,246935.8,0,0,0,262281.7,232650.6,0,378631.9,970001.9,112842.586,1093010.2,
332,162.0916216000793,2.5566807,,,,123,,,,,,,262498.47,0,0,0,0,0,0,190746.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
155,163.03945308373883,1.1692202,,,,,,,,,,,0,208793.9,0,0,168055.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
584,163.07559682980565,4.0656133,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,329717.3,0,0,0,0,0,0,311871.06,0,0,0,579871.5,0,0,
330,166.08656042769954,2.5513606,,,,123,,,,,,,409705.06,0,0,234674.81,188714.0,0,0,345541.53,0,299441.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
199,166.08663649982876,1.4823046,,,,,,,,,,,0,0,0,0,175793.3,146360.39,143949.89,0,0,0,0,0,201345.34,0,206955.36,0,160941.55,0,0,0,0,0,0,0,0,0,0,
1914,167.03425176481042,15.81331,,,,,,,,,,,0,0,0,54981.008,0,0,0,0,49900.47,0,0,0,52962.543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
310,167.07061800583747,2.4253154,,,,,,,,,,,529006.8,308760.12,182611.77,643498.4,380569.16,305337.2,0,338165.62,280696.72,418941.62,451042.84,194306.2,497661.22,455562.84,0,279367.7,491310.38,0,257656.1,0,497151.38,415907.44,532062.1,0,0,222971.47,0,
289,167.07063153969776,2.2222052,,,,93,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453217.5,0,466225.62,
170,167.0706980700114,1.297218,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642096.3,1186502.9,0,1892672.9,
209,169.04992817218172,1.5428591,,,,,,,,,,,0,0,0,364850.78,209787.27,0,0,0,0,0,0,0,0,0,0,0,251825.72,0,0,0,217384.45,0,0,0,0,0,0,
261,170.09675776223847,1.9581342,,,,,,,,,,,782792.2,573172.75,378722.12,939724.3,647227.44,0,0,0,0,668401.1,444811.28,0,0,438787.12,0,443910.3,0,181624.39,0,0,0,0,268525.03,0,0,0,0,
270,170.09679042724747,1.9992175,,,,,,,,,,,0,0,0,0,0,590870.2,0,577726.2,422494.34,0,0,368792.25,302355.97,0,0,0,454987.03,0,446951.66,361374.7,496414.06,498604.34,0,0,107688.83,295242.12,136178.25,
185,171.0655144370573,1.3735002,,,,,,,,,,,0,0,0,334356.03,156399.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,171.18616104390836,0.7314596,,,,46,5,[M+NH4]+,,2,64;63,153.15231,0,0,0,0,0,0,1115292.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409499.62,0,0,
2915,173.07879125162162,19.691889,,,,,,,,,,,0,0,715485.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788408.44,0,0,709732.8,
2893,173.0788050444998,19.577173,,,,,,,,,,,682709.5,731761.0,0,0,0,707734.75,697584.7,0,0,691932.2,0,702249.56,0,0,0,742274.2,739401.6,0,0,0,0,0,0,0,0,0,0,
305,177.0226498482772,2.395717,,,,,,,,,,,0,253033.52,0,0,235951.34,0,0,258352.89,0,0,264130.28,0,196830.95,215030.5,0,279412.0,0,0,0,0,0,0,0,0,0,0,0,
240,177.05505992017953,1.8468683,,,,,,,,,,,0,257647.16,0,0,0,257998.78,576437.2,0,0,0,0,0,304064.34,0,696867.9,0,0,0,200311.8,0,0,0,336547.66,611936.8,0,0,0,
582,177.09122203175463,4.059071,,,,,,,,,,,855892.2,607917.8,276071.94,941679.25,772642.3,406826.34,0,398933.28,0,737533.4,1386916.1,0,0,1288755.2,0,374336.7,1061108.8,0,435456.5,201556.05,1242889.2,1250038.0,0,902903.4,2095897.2,700215.8,2345097.0,
560,177.09124325105017,3.953013,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432808.7,0,572484.1,
82,178.08695116187792,0.8302873,,,,,,,,,,,319832.72,0,0,200904.19,98847.32,200742.86,0,275322.72,0,614944.5,0,0,1083638.9,0,0,380626.56,745241.94,233602.94,0,0,670697.44,820166.1,1024601.94,0,0,297357.6,0,
913,179.07066572351823,5.7281585,,,,,,,,,,,223151.17,0,0,272577.12,81261.95,0,0,178819.69,0,109070.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
222,179.0707361816122,1.6650728,,,,,,,,,,,0,240818.8,236495.52,0,271028.84,0,0,0,321295.5,383477.56,0,197544.69,0,0,0,350397.62,0,0,215805.56,313028.97,266371.75,339813.53,0,0,0,99609.75,0,
184,180.10229482768057,1.3671672,,,,116,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319040.56,0,361835.72,
132,181.08638591858625,1.0316708,,,,,,,,,,,0,0,0,0,0,0,222516.16,0,0,0,0,0,0,0,561114.6,0,0,0,0,0,0,0,0,0,0,0,0,
152,181.08639473901877,1.1612918,,,,71,,,,,,,0,0,137544.56,0,0,0,0,0,0,516134.25,130046.87,0,628013.4,0,0,353752.25,253635.3,0,0,301526.0,101634.516,222095.02,534171.56,1462693.1,1366096.5,0,2416201.2,
2936,184.9859080436956,19.864254,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170431.34,0,0,0,0,0,0,0,0,0,0,150730.89,
314,185.08117610984408,2.4490042,,,,,,,,,,,1119121.5,902163.75,730111.0,1356700.6,1071292.2,803815.7,0,842633.3,978496.75,1042699.7,1036341.1,749597.44,779453.0,1034278.75,0,853661.4,1078728.9,424466.75,767639.5,771289.44,1086657.6,969808.06,752980.56,992965.1,1889547.6,584074.6,2650005.5,
166,185.08126574505286,1.2485982,,,,,,,,,,,0,0,0,0,0,0,1495189.0,0,0,0,0,0,0,0,1644923.4,0,0,0,0,0,0,0,0,1144494.9,0,0,0,
265,187.12331292869882,1.9756072,,,,106,,,,,,,332749.3,237087.72,0,453636.28,307782.94,220194.56,0,129645.45,0,305906.47,0,0,0,0,0,0,175168.83,0,0,0,0,194111.47,0,0,0,0,0,
52,191.03948527527717,0.7092386,,,,,,,,,,,66878.63,0,0,75219.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
183,195.10204240260083,1.3666613,,,,,,,,,,,0,0,0,0,0,0,381759.66,0,0,0,0,0,0,0,392271.0,0,0,0,0,0,0,0,0,0,0,0,0,
358,197.1176345282968,2.79814,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,210796.05,0,148828.64,198941.38,0,0,193036.7,0,0,0,212135.89,125596.95,157786.88,407500.16,963628.1,0,1167628.8,
167,197.1288528533206,1.2546781,,,,155,,,,,,,1881330.4,1259629.6,912446.06,1385223.2,923231.75,1363953.1,702025.4,1677975.9,1416456.1,1826982.9,1185501.9,1170905.9,1896477.6,1366592.4,735465.0,1231851.0,1363473.0,478129.44,1106911.6,1308524.0,1269580.4,947092.75,1897139.1,1312740.9,1134904.4,550314.75,1508694.8,
1115,200.23764887767075,7.868955,,,,,,,,,,,0,85642.3,0,0,0,0,0,96525.445,62638.062,0,0,0,0,0,0,76747.08,0,0,0,0,0,0,0,0,0,0,27429.363,
2901,202.21689302715038,19.626204,,,,,,,,,,,0,0,247984.62,0,0,0,0,0,0,0,0,0,0,0,0,234365.69,0,0,0,0,0,0,0,0,0,0,0,
72,207.18620344830646,0.7561335,,,,146,,,,,,,0,0,0,0,0,0,833544.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330962.2,0,0,
429,209.08107195016433,3.1951983,,,,102,,,,,,,236373.22,191117.23,0,343634.78,245269.97,189512.55,0,0,155398.47,245673.86,175936.48,0,199130.16,168101.16,217423.94,165808.31,0,0,0,0,0,0,0,0,0,0,0,
681,209.15395871730502,4.61123,,,,,,,,,,,0,0,0,0,0,0,0,0,0,197023.31,0,0,0,0,0,0,0,0,0,0,0,0,126460.125,0,0,0,0,
158,209.16519067834338,1.1825355,,,,85,,,,,,,0,0,0,0,0,0,422747.34,0,0,0,0,0,442709.6,0,0,0,0,0,0,0,0,0,444560.75,0,0,0,0,
253,211.1444239271699,1.9112297,,,,,,,,,,,6026323.0,2932496.8,2553591.8,7186493.0,3276381.0,3133251.0,1663049.2,4616067.5,3082118.2,3584808.0,3255577.0,2567033.2,3599195.5,3189485.8,1698789.1,2945665.2,3047924.5,1333576.2,2823987.5,2692942.2,2866849.0,2458754.5,3695261.5,3420947.8,4089329.2,1614748.2,4819681.5,
291,213.11270608754313,2.2426183,,,,93,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196867.06,0,232848.11,
870,213.1465134047714,5.4857793,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,222733.11,0,0,0,0,0,76618.06,0,0,0,0,136523.02,0,0,0,
197,214.08668153543977,1.4771166,,,,107,12,[M+H]+,,1,200,213.07944,408896.0,0,0,0,0,0,0,0,0,466824.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
182,217.09754209166488,1.3579093,,,,116,,,,,,,299871.22,384169.47,0,0,221412.75,367611.06,451553.53,0,267593.88,595952.3,309665.25,326906.3,526038.94,347941.97,388997.72,340884.62,399531.94,0,307760.7,336153.6,363933.72,345347.12,466061.78,728182.3,750391.94,126306.5,854139.56,
2886,217.10503954930817,19.575314,,,,,,,,,,,577266.25,576707.56,0,0,603903.3,583575.75,581924.6,0,0,565526.44,0,590069.94,0,0,0,581495.2,600071.1,0,0,0,0,0,0,0,563329.56,0,0,
84,217.10546667371568,0.8613056,,,,,,,,,,,0,0,0,0,0,0,392672.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282787.9,0,0,
